Section,Category,FunctionName,Function,Code,Description
Modelling,Comparaison,Comparaison systématique,for,"for name, model in dict_of_models.items()",Évaluer tous modèles
Modelling,Comparaison,Ensemble methods,VotingClassifier,"VotingClassifier(), StackingClassifier()",Combiner modèles
Modelling,Évaluation,Learning curves,learning_curve,"learning_curve(model, X, y, cv=4, train_sizes=np.linspace(0.1, 1.0, 10))",Détecter overfitting
Modelling,Évaluation,Importance features,feature_importances_,"model.feature_importances_",Visualiser importance
Modelling,Évaluation,Validation croisée,cross_val_score,"cross_val_score(model, X, y, cv=5)",Évaluation robuste
Modelling,Métriques,Classification report,classification_report,"classification_report(y_true, y_pred)",Rapport complet
Modelling,Métriques,Matrice confusion,confusion_matrix,"confusion_matrix(y_test, y_pred)",Erreurs détaillées
Modelling,Métriques,Scores spécifiques,f1_score,"f1_score(), recall_score(), precision_score()",Métriques spécifiques
Modelling,Hyperparamètres,Grid Search,GridSearchCV,"GridSearchCV(model, param_grid, cv=4, scoring='recall')",Recherche exhaustive
Modelling,Hyperparamètres,Randomized Search,RandomizedSearchCV,"RandomizedSearchCV(model, param_grid, cv=4, scoring='recall', n_iter=50)",Recherche aléatoire
Modelling,Hyperparamètres,Meilleurs paramètres,best_params_,"grid.best_params_, grid.best_estimator_",Récupérer optimaux
Modelling,Seuil,Precision-Recall Curve,precision_recall_curve,"precision_recall_curve(y_true, y_score)",Analyser trade-off precision/recall
Modelling,Seuil,Seuil personnalisé,decision_function,"model.decision_function(X) > threshold",Ajuster seuil classification
Modelling,Seuil,Fonction finale,def,"def final_model(model, X, threshold=0)",Application seuil custom
Modelling,Diagnostic,Analyse overfitting,comparison,"comparer train_score et val_score",Learning curve analysis
Modelling,Diagnostic,Feature importance,pd.DataFrame,"pd.DataFrame(model.feature_importances_, index=X.columns)",Analyser importance
Modelling,Non-supervisés,K-Means,KMeans,"KMeans(n_clusters=3)",Clustering
Modelling,Non-supervisés,Isolation Forest,IsolationForest,"IsolationForest()",Détection anomalies
Modelling,Non-supervisés,PCA,PCA,"PCA(n_components=2)",Réduction dimensionnalité
Validation,Types CV,KFold,KFold,"KFold(n_splits=5)",Découpage k parties égales
Validation,Types CV,StratifiedKFold,StratifiedKFold,"StratifiedKFold(n_splits=5)",Respecter proportions classes
Validation,Types CV,LeaveOneOut,LeaveOneOut,"LeaveOneOut()",Validation leave-one-out
Validation,Types CV,ShuffleSplit,ShuffleSplit,"ShuffleSplit(n_splits=5)",Mélange et découpage multiple
Validation,CV personnalisée,TimeSeriesSplit,TimeSeriesSplit,"TimeSeriesSplit",Séries temporelles
Validation,CV personnalisée,GroupKFold,GroupKFold,"GroupKFold(n_splits=5)",Groupes corrélés
